"Language,"original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"HB_DEPOSIT","DEPOSIT","DEPOSIT","VLOŽIT","EINZAHLEN","ВНЕСТИ","DEPOSIT","DEPOSIT","DEPOSITARE","DEPÓSITO","DÉPOSER","DEPOSIT","DEPOSIT","DEPOSITAR","DEPOSIT",
"HB_WITHDRAW","WITHDRAW","WITHDRAW","Vybrat","ABHEBEN","СНЯТЬ","WITHDRAW","WITHDRAW","RITIRO","RETIRAR","RETIRER","WITHDRAW","WITHDRAW","SACAR","WITHDRAW",
"HB_ONYOU","On you","On you","Na tobě","In Besitz","При себе","On you","On you","Su di te","En ti","Sur vous","On you","On you","Inventario","On you",
"HB_LIMIT","Limit","Limit","Limit","Limit","Лимит","Limit","Limit","Limite","Limite","Limite","Limit","Limit","Limite","Limit",
"HB_CONNECTING","Connecting","Connecting","Připojování","Verbinden","Соединение","Connecting","Connecting","Collegamento","Conectando","Connecté","Connecting","Connecting","Conectando","Connecting",
"HB_ACTIONTEXT","Access Account","Access Account","Přístup k účtu","Zugriff auf Konto","Доступ к аккаунту","Access Account","Access Account","Account di accesso","Acceder a la cuenta","Accéder au compte","Access Account","Access Account","Acessar conta","Access Account",
"HB_ERRORMONEYONGROUND","Money spawned on the ground","Money spawned on the ground","Peníze leží na zemi","Geld liegt auf dem Boden","Деньги выпали на землю","Money spawned on the ground","Money spawned on the ground","Soldi generati sul terreno","El dinero apareció en el suelo","L'argent a été déposer au sol","Money spawned on the ground","Money spawned on the ground","O dinheiro está no chão","Money spawned on the ground",
"HB_ERRORUNKNOWN","Something went wrong","Something went wrong","Něco je špatně","Etwas ist schief gelaufen","Что-то пошло не так","Something went wrong","Something went wrong","Qualcosa è andato storto","Algo salió mal","Un problème est survenu","Something went wrong","Something went wrong","Algo deu errado","Something went wrong",
"HB_ERRORLESSFUNDSBANK","Insufficient Funds","Insufficient Funds","Nedostatek peněz","Unzureichende Geldmittel","Недостаток средств","Insufficient Funds","Insufficient Funds","Fondi insufficienti","Fondos insuficientes","Fonds insuffisant","Insufficient Funds","Insufficient Funds","Saldo insuficiente","Insufficient Funds",
"HB_ERRORLESSFUNDSPLAYER","Don't have that much on you","Don't have that much on you","Nemáš tolik","Du hast nicht so viel bei dir","При себе недостаточное количество","Don't have that much on you","Don't have that much on you","Non ho molto su di te","No tienes ese dinero","Vous n'avez pas assez sur vous","Don't have that much on you","Don't have that much on you","Você não tem esse dinheiro todo","Don't have that much on you",
"HB_ERROROVERLIMIT","Trying to deposit more than your limit","Trying to deposit more than your limit","Zkouší se vložit víc než tvůj limit","Du kannst nicht mehr einzahlen, als du bei dir hast","Преодолен депозитный лимит","Trying to deposit more than your limit","Trying to deposit more than your limit","Cercando di depositare più del tuo limite ","Intentas depositar más del límite","Vous essayer de déposer plus que votre limite","Trying to deposit more than your limit","Trying to deposit more than your limit","Você está tentando depositar mais do que o limite","Trying to deposit more than your limit",
"HB_ERRORINVALIDAMOUNT","Invalid Amount","Invalid Amount","Špatná hodnota","Ungültige Menge","Неверное количество","Invalid Amount","Invalid Amount","Importo non valido","Cantidad inválida","Montant invalide","Invalid Amount","Invalid Amount","Valor inválido","Invalid Amount",
